Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,909334.2004492473,60.06905304534421,0.14400825489057137
solar_pv_sat,1,1.704415903041084e6,410.0815189251418,0.0395384853340175
solar_btm,1,777809.9918735257,32.11,0.230434690549977
solar_btm_curt,1,196693.15272541335,8.12,0.23043469054997684
hydro,1,185979.01289386064,6.0,0.2948677906104628
battery4,1,0.0,0.0,0.0
battery8,1,625645.1391304204,44.606406753604524,0.0
pumped_hydro_long,1,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0
geothermal,1,1.7442742483554636e6,80.0,0.2074146509174261
