Time,Weekday,Weekend
12:00:00 AM,210643.89,198706.28
12:15:00 AM,209518.44,195780.75
12:30:00 AM,208545.2,193753.48
12:45:00 AM,207710.46,191422.02
1:00:00 AM,206939.25,190003.86
1:15:00 AM,206104.71,188782.07
1:30:00 AM,205923.72,188689.89
1:45:00 AM,205648.47,187793.92
2:00:00 AM,205676.52,187129.17
2:15:00 AM,205214.54,186494.48
2:30:00 AM,205004.6,187241.92
2:45:00 AM,205011.1,188240.85
3:00:00 AM,205123.23,188190
3:15:00 AM,204004.6,186687.49
3:30:00 AM,202840.55,184855.84
3:45:00 AM,202528.7,183646.03
4:00:00 AM,201300.4,181995.01
4:15:00 AM,201189.14,181492.11
4:30:00 AM,198904.46,180619.9
4:45:00 AM,196919.5,179577.55
5:00:00 AM,194249.16,177977.94
5:15:00 AM,194026.02,176935.06
5:30:00 AM,191011.39,174964.91
5:45:00 AM,189778.89,175168.12
6:00:00 AM,187706.03,173341.16
6:15:00 AM,186325.03,172746.89
6:30:00 AM,182275.4,169771.89
6:45:00 AM,180638.47,171815.61
7:00:00 AM,176984.73,172170.78
7:15:00 AM,173267.12,176388.22
7:30:00 AM,171864.35,178374.84
7:45:00 AM,176523.88,182445.6
8:00:00 AM,187698.15,188482.25
8:15:00 AM,191551.69,193316.52
8:30:00 AM,195968.57,190091.69
8:45:00 AM,200293.96,193076.28
9:00:00 AM,212988.36,203714.93
9:15:00 AM,216419.32,203623.39
9:30:00 AM,215988.85,206060.54
9:45:00 AM,213461.25,206450.31
10:00:00 AM,220521.37,213762.03
10:15:00 AM,216459.5,214573.82
10:30:00 AM,215228.01,217332.18
10:45:00 AM,210315.81,214931.9
11:00:00 AM,215589.39,216279.27
11:15:00 AM,213182.46,218980.38
11:30:00 AM,203850.19,220372.32
11:45:00 AM,203332.01,220137.48
12:00:00 PM,204727.42,227865.76
12:15:00 PM,204823.69,217117.55
12:30:00 PM,201017.86,209691.27
12:45:00 PM,198728.69,201953.28
1:00:00 PM,200841.5,212671.68
1:15:00 PM,200611.68,214575.59
1:30:00 PM,197259.06,217021.05
1:45:00 PM,196151.03,216326.24
2:00:00 PM,186055.53,215491.97
2:15:00 PM,179059.92,205359.54
2:30:00 PM,176926.92,201830.23
2:45:00 PM,174845.04,201142.74
3:00:00 PM,173757.88,197959.52
3:15:00 PM,176165.06,201039.24
3:30:00 PM,174467.72,196591.29
3:45:00 PM,176993.21,189719.71
4:00:00 PM,182277.5,185578.84
4:15:00 PM,183561.67,189351.27
4:30:00 PM,180858.44,201614.41
4:45:00 PM,179722.2,204520.17
5:00:00 PM,174252.93,209919.83
5:15:00 PM,174230.24,204827.33
5:30:00 PM,183141.17,196938.42
5:45:00 PM,191552.15,196442.63
6:00:00 PM,198640.84,204540.28
6:15:00 PM,202793.69,214360.19
6:30:00 PM,210225.35,212070.1
6:45:00 PM,215580.33,210651.65
7:00:00 PM,222866.86,211172
7:15:00 PM,226775.99,210130.79
7:30:00 PM,220650.37,210674.69
7:45:00 PM,215651.06,209059.53
8:00:00 PM,213340.56,202929.24
8:15:00 PM,210168.87,200151.58
8:30:00 PM,206757.37,199946.15
8:45:00 PM,203822.31,198275.36
9:00:00 PM,200765.46,193012.14
9:15:00 PM,202648,192373.3
9:30:00 PM,204970.08,192099.69
9:45:00 PM,204851.17,192328.94
10:00:00 PM,205818.18,193910.85
10:15:00 PM,206432.85,197219.83
10:30:00 PM,207998.54,199333.63
10:45:00 PM,209061.42,197683.58
11:00:00 PM,210255,197519.46
11:15:00 PM,210551.21,197917.62
11:30:00 PM,211699.71,201935.04
11:45:00 PM,211634,203794.04
