Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,1.0355920345181415e6,65.26802089144313,0.15093949937240514
solar_pv_sat,1,1.5250593678574953e6,414.81114258301284,0.03497445730351728
solar_btm,1,779721.2754186686,32.11,0.2310009291389269
solar_btm_curt,1,197176.47948924277,8.12,0.23100092913892678
hydro,1,167801.61812844477,6.0,0.2660477202695491
battery4,1,0.0,0.0,0.0
battery8,1,505161.8721883486,49.15364382940728,0.0
pumped_hydro_long,1,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0
geothermal,1,1.735863778122837e6,80.0,0.20641454743655788
